# a   delta_cdm(a)
1.00000000e-04 1.00000000e+00
1.03128316e-04 1.06035716e+00
1.06354496e-04 1.12252282e+00
1.09681601e-04 1.18641941e+00
1.13112788e-04 1.25199367e+00
1.16651313e-04 1.31933328e+00
1.20300535e-04 1.38857670e+00
1.24063916e-04 1.45985638e+00
1.27945027e-04 1.53327478e+00
1.31947552e-04 1.60891649e+00
1.36075289e-04 1.68686456e+00
1.40332154e-04 1.76721489e+00
1.44722187e-04 1.85007368e+00
1.49249555e-04 1.93554492e+00
1.53918552e-04 2.02373374e+00
1.58733611e-04 2.11474740e+00
1.63699300e-04 2.20869076e+00
1.68820332e-04 2.30567145e+00
1.74101565e-04 2.40580462e+00
1.79548012e-04 2.50920365e+00
1.85164842e-04 2.61598330e+00
1.90957383e-04 2.72626770e+00
1.96931134e-04 2.84018012e+00
2.03091762e-04 2.95784344e+00
2.09445114e-04 3.07938971e+00
2.15997219e-04 3.20495124e+00
2.22754295e-04 3.33465903e+00
2.29722754e-04 3.46865486e+00
2.36909207e-04 3.60708335e+00
2.44320476e-04 3.75008681e+00
2.51963593e-04 3.89781708e+00
2.59845810e-04 4.05043136e+00
2.67974609e-04 4.20808390e+00
2.76357701e-04 4.37093761e+00
2.85003044e-04 4.53916431e+00
2.93918840e-04 4.71293277e+00
3.03113550e-04 4.89241838e+00
3.12595900e-04 5.07780900e+00
3.22374888e-04 5.26928987e+00
3.32459793e-04 5.46705035e+00
3.42860186e-04 5.67129533e+00
3.53585937e-04 5.88222835e+00
3.64647222e-04 6.10005444e+00
3.76054540e-04 6.32499643e+00
3.87818715e-04 6.55727800e+00
3.99950910e-04 6.79712211e+00
4.12462638e-04 7.04477074e+00
4.25365773e-04 7.30047026e+00
4.38672559e-04 7.56446450e+00
4.52395623e-04 7.83701580e+00
4.66547988e-04 8.11839554e+00
4.81143084e-04 8.40887139e+00
4.96194760e-04 8.70872740e+00
5.11717301e-04 9.01826224e+00
5.27725435e-04 9.33777042e+00
5.44234355e-04 9.66755985e+00
5.61259726e-04 1.00079594e+01
5.78817704e-04 1.03592945e+01
5.96924951e-04 1.07218993e+01
6.15598650e-04 1.10961340e+01
6.34856522e-04 1.14823570e+01
6.54716840e-04 1.18809316e+01
6.75198452e-04 1.22922518e+01
6.96320794e-04 1.27167139e+01
7.18103909e-04 1.31547146e+01
7.40568469e-04 1.36066837e+01
7.63735792e-04 1.40730588e+01
7.87627861e-04 1.45542747e+01
8.12267350e-04 1.50507989e+01
8.37677640e-04 1.55631145e+01
8.63882844e-04 1.60916995e+01
8.90907830e-04 1.66370618e+01
9.18778243e-04 1.71997339e+01
9.47520530e-04 1.77802427e+01
9.77161967e-04 1.83791395e+01
1.00773068e-03 1.89970105e+01
1.03925568e-03 1.96344375e+01
1.07176689e-03 2.02920194e+01
1.10529514e-03 2.09704004e+01
1.13987227e-03 2.16702227e+01
1.17553107e-03 2.23921389e+01
1.21230540e-03 2.31368546e+01
1.25023015e-03 2.39050792e+01
1.28934130e-03 2.46975261e+01
1.32967597e-03 2.55149653e+01
1.37127243e-03 2.63581809e+01
1.41417017e-03 2.72279548e+01
1.45840988e-03 2.81251257e+01
1.50403355e-03 2.90505591e+01
1.55108448e-03 3.00051147e+01
1.59960730e-03 3.09897044e+01
1.64964807e-03 3.20052827e+01
1.70125428e-03 3.30527969e+01
1.75447489e-03 3.41332379e+01
1.80936041e-03 3.52476565e+01
1.86596292e-03 3.63970981e+01
1.92433614e-03 3.75826403e+01
1.98453546e-03 3.88054376e+01
2.04661800e-03 4.00666444e+01
2.11064268e-03 4.13674346e+01
2.17667025e-03 4.27090736e+01
2.24476338e-03 4.40928360e+01
2.31498667e-03 4.55200050e+01
2.38740677e-03 4.69919629e+01
2.46209240e-03 4.85101169e+01
2.53911443e-03 5.00758743e+01
2.61854596e-03 5.16907408e+01
2.70046235e-03 5.33562695e+01
2.78494135e-03 5.50740076e+01
2.87206312e-03 5.68455929e+01
2.96191033e-03 5.86727378e+01
3.05456825e-03 6.05571464e+01
3.15012480e-03 6.25005995e+01
3.24867066e-03 6.45049822e+01
3.35029934e-03 6.65721740e+01
3.45510729e-03 6.87041121e+01
3.56319397e-03 7.09028678e+01
3.67466194e-03 7.31705153e+01
3.78961698e-03 7.55091664e+01
3.90816818e-03 7.79210906e+01
4.03042803e-03 8.04085778e+01
4.15651256e-03 8.29739364e+01
4.28654141e-03 8.56196462e+01
4.42063797e-03 8.83482345e+01
4.55892950e-03 9.11622323e+01
4.70154722e-03 9.40643423e+01
4.84862648e-03 9.70573527e+01
5.00030684e-03 1.00144045e+02
5.15673224e-03 1.03327361e+02
5.31805113e-03 1.06610374e+02
5.48441658e-03 1.09996146e+02
5.65598646e-03 1.13487878e+02
5.83292359e-03 1.17088950e+02
6.01539588e-03 1.20802741e+02
6.20357648e-03 1.24632733e+02
6.39764396e-03 1.28582641e+02
6.59778248e-03 1.32656192e+02
6.80418197e-03 1.36857182e+02
7.01703829e-03 1.41189682e+02
7.23655342e-03 1.45657805e+02
7.46293569e-03 1.50265701e+02
7.69639990e-03 1.55017819e+02
7.93716762e-03 1.59918698e+02
8.18546731e-03 1.64972887e+02
8.44153460e-03 1.70185237e+02
8.70561248e-03 1.75560752e+02
8.97795155e-03 1.81104434e+02
9.25881025e-03 1.86821562e+02
9.54845510e-03 1.92717651e+02
9.84716096e-03 1.98798207e+02
1.01552113e-02 2.05068974e+02
1.04728984e-02 2.11536022e+02
1.08005237e-02 2.18205420e+02
1.11383983e-02 2.25083421e+02
1.14868426e-02 2.32176693e+02
1.18461873e-02 2.39491930e+02
1.22167735e-02 2.47035952e+02
1.25989528e-02 2.54816064e+02
1.29930878e-02 2.62839654e+02
1.33995527e-02 2.71114177e+02
1.38187331e-02 2.79647618e+02
1.42510267e-02 2.88448124e+02
1.46968439e-02 2.97523873e+02
1.51566076e-02 3.06883569e+02
1.56307542e-02 3.16536196e+02
1.61197336e-02 3.26490742e+02
1.66240098e-02 3.36756683e+02
1.71440614e-02 3.47343918e+02
1.76803818e-02 3.58262341e+02
1.82334800e-02 3.69522264e+02
1.88038809e-02 3.81134581e+02
1.93921257e-02 3.93110195e+02
1.99987727e-02 4.05460337e+02
2.06243975e-02 4.18196970e+02
2.12695939e-02 4.31332122e+02
2.19349740e-02 4.44878040e+02
2.26211693e-02 4.58847837e+02
2.33288310e-02 4.73254776e+02
2.40586305e-02 4.88112256e+02
2.48112606e-02 5.03434604e+02
2.55874352e-02 5.19236451e+02
2.63878910e-02 5.35532489e+02
2.72133877e-02 5.52338340e+02
2.80647085e-02 5.69670136e+02
2.89426612e-02 5.87544026e+02
2.98480792e-02 6.05977018e+02
3.07818214e-02 6.24986887e+02
3.17447741e-02 6.44591407e+02
3.27378510e-02 6.64809096e+02
3.37619944e-02 6.85659507e+02
3.48181763e-02 7.07162232e+02
3.59073989e-02 7.29337439e+02
3.70306958e-02 7.52206604e+02
3.81891330e-02 7.75791333e+02
3.93838098e-02 8.00113630e+02
4.06158599e-02 8.25197031e+02
4.18864524e-02 8.51065365e+02
4.31967930e-02 8.77742705e+02
4.45481252e-02 9.05254771e+02
4.59417313e-02 9.33627848e+02
4.73789339e-02 9.62888339e+02
4.88610967e-02 9.93064295e+02
5.03896263e-02 1.02418470e+03
5.19659730e-02 1.05627856e+03
5.35916329e-02 1.08937645e+03
5.52681486e-02 1.12351029e+03
5.69971109e-02 1.15871204e+03
5.87801607e-02 1.19501495e+03
6.06189899e-02 1.23245418e+03
6.25153435e-02 1.27106494e+03
6.44710211e-02 1.31088349e+03
6.64878784e-02 1.35194841e+03
6.85678294e-02 1.39429858e+03
7.07128478e-02 1.43797356e+03
7.29249692e-02 1.48301567e+03
7.52062927e-02 1.52946777e+03
7.75589832e-02 1.57737318e+03
7.99852734e-02 1.62677818e+03
8.24874655e-02 1.67773007e+03
8.50679342e-02 1.73027639e+03
8.77291280e-02 1.78446765e+03
9.04735724e-02 1.84035603e+03
9.33038717e-02 1.89799385e+03
9.62227117e-02 1.95743616e+03
9.92328623e-02 2.01874052e+03
1.02337180e-01 2.08196459e+03
1.05538610e-01 2.14716840e+03
1.08840192e-01 2.21441536e+03
1.12245057e-01 2.28376912e+03
1.15756437e-01 2.35529521e+03
1.19377664e-01 2.42906341e+03
1.23112175e-01 2.50514406e+03
1.26963513e-01 2.58360884e+03
1.30935333e-01 2.66453443e+03
1.35031404e-01 2.74799864e+03
1.39255613e-01 2.83408015e+03
1.43611969e-01 2.92286306e+03
1.48104605e-01 3.01443351e+03
1.52737785e-01 3.10887819e+03
1.57515906e-01 3.20628926e+03
1.62443501e-01 3.30676215e+03
1.67525247e-01 3.41039271e+03
1.72765966e-01 3.51728196e+03
1.78170632e-01 3.62753573e+03
1.83744372e-01 3.74126034e+03
1.89492477e-01 3.85856670e+03
1.95420401e-01 3.97957232e+03
2.01533769e-01 4.10439550e+03
2.07838382e-01 4.23315844e+03
2.14340223e-01 4.36599171e+03
2.21045463e-01 4.50302750e+03
2.27960464e-01 4.64440109e+03
2.35091788e-01 4.79025782e+03
2.42446202e-01 4.94074595e+03
2.50030685e-01 5.09601634e+03
2.57852435e-01 5.25623111e+03
2.65918874e-01 5.42155745e+03
2.74237657e-01 5.59216494e+03
2.82816678e-01 5.76823521e+03
2.91664078e-01 5.94995799e+03
3.00788252e-01 6.13752566e+03
3.10197859e-01 6.33114312e+03
3.19901828e-01 6.53102737e+03
