# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 100, i.e. number of multipoles equal to 99
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                 
    2       1.377772965607e-10 
    3       1.302987485812e-10 
    4       1.232078971066e-10 
    5       1.178294295985e-10 
    6       1.140702065030e-10 
    7       1.116019467408e-10 
    8       1.100921979473e-10 
    9       1.092284690495e-10 
   10       1.088983830534e-10 
   11       1.089194222212e-10 
   12       1.093432767053e-10 
   13       1.099431221060e-10 
   14       1.106015272346e-10 
   15       1.115205473063e-10 
   16       1.125450322983e-10 
   17       1.137650709838e-10 
   18       1.149481427922e-10 
   19       1.161509060282e-10 
   20       1.175018439626e-10 
   21       1.189306944949e-10 
   22       1.202861609404e-10 
   23       1.216412205740e-10 
   24       1.231083161352e-10 
   25       1.246491333368e-10 
   26       1.261664593816e-10 
   27       1.276560260252e-10 
   28       1.291294451672e-10 
   29       1.305922949312e-10 
   30       1.320852002652e-10 
   31       1.336566607000e-10 
   32       1.353353759251e-10 
   33       1.370737080140e-10 
   34       1.387794330966e-10 
   35       1.403611981291e-10 
   36       1.418445656746e-10 
   37       1.432948993607e-10 
   38       1.447871056261e-10 
   39       1.463863161125e-10 
   40       1.480810972544e-10 
   41       1.498280946937e-10 
   42       1.515686485403e-10 
   43       1.532452637401e-10 
   44       1.548598456584e-10 
   45       1.564317103136e-10 
   46       1.579815396689e-10 
   47       1.595313618132e-10 
   48       1.611010867387e-10 
   49       1.626970051815e-10 
   50       1.643200136927e-10 
   51       1.659685852401e-10 
   52       1.676385736539e-10 
   53       1.693253061225e-10 
   54       1.710309425229e-10 
   55       1.727586676665e-10 
   56       1.745104715153e-10 
   57       1.762870495633e-10 
   58       1.780877032170e-10 
   59       1.799090088796e-10 
   60       1.817406905338e-10 
   61       1.835686108836e-10 
   62       1.853757799017e-10 
   63       1.871422134714e-10 
   64       1.888447920284e-10 
   65       1.904644706475e-10 
   66       1.920100016051e-10 
   67       1.934989979986e-10 
   68       1.949510886934e-10 
   69       1.963879825994e-10 
   70       1.978335329484e-10 
   71       1.993138015698e-10 
   72       2.008512542863e-10 
   73       2.024459143480e-10 
   74       2.040906907155e-10 
   75       2.057768578765e-10 
   76       2.074939861302e-10 
   77       2.092298718707e-10 
   78       2.109704678711e-10 
   79       2.126998135678e-10 
   80       2.144044069257e-10 
   81       2.160873477830e-10 
   82       2.177565349573e-10 
   83       2.194204551663e-10 
   84       2.210881955632e-10 
   85       2.227694562722e-10 
   86       2.244745629239e-10 
   87       2.262144791910e-10 
   88       2.280008193233e-10 
   89       2.298418243810e-10 
   90       2.317295402327e-10 
   91       2.336506419415e-10 
   92       2.355902437506e-10 
   93       2.375318511502e-10 
   94       2.394573129438e-10 
   95       2.413467733148e-10 
   96       2.431786238930e-10 
   97       2.449294558214e-10 
   98       2.465740118223e-10 
   99       2.480980803013e-10 
  100       2.495393651688e-10 
