#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       7.885139803899e+01       1.947253865036e-04      -1.350987787848e+00       2.359935647376e-05       7.507768231472e-07       1.876942057868e-06       3.380801441188e-11       3.753884115736e-07      -1.013240840886e+00       2.359935647376e-05       5.895346576109e-01       6.625549308393e-01      -1.350987787847e+00       2.359138685107e-05       2.415022409210e-04      -1.013240840886e+00       2.361022048202e-05 
       7.885140983429e+01       1.947254193157e-04      -1.350987776383e+00       2.359935944453e-05       7.507771712852e-07       1.876942928213e-06       3.380804155061e-11       3.753885856426e-07      -1.013240832287e+00       2.359935944454e-05       5.895346626930e-01       6.625549337982e-01      -1.350987776383e+00       2.359138981815e-05       2.415023151158e-04      -1.013240832288e+00       2.361022345736e-05 
       7.885142162960e+01       1.947254521277e-04      -1.350987764918e+00       2.359936241531e-05       7.507775194233e-07       1.876943798558e-06       3.380806868936e-11       3.753887597117e-07      -1.013240823689e+00       2.359936241532e-05       5.895346677751e-01       6.625549367572e-01      -1.350987764918e+00       2.359139278524e-05       2.415023893106e-04      -1.013240823689e+00       2.361022643271e-05 
       7.885153958263e+01       1.947257802485e-04      -1.350987650274e+00       2.359939212305e-05       7.507810008105e-07       1.876952502026e-06       3.380834007783e-11       3.753905004052e-07      -1.013240737706e+00       2.359939212309e-05       5.895347185957e-01       6.625549663461e-01      -1.350987650272e+00       2.359142245614e-05       2.415031312588e-04      -1.013240737707e+00       2.361025618612e-05 
       7.885165753567e+01       1.947261083694e-04      -1.350987535631e+00       2.359942183080e-05       7.507844822083e-07       1.876961205521e-06       3.380861146804e-11       3.753922411042e-07      -1.013240651723e+00       2.359942183087e-05       5.895347694160e-01       6.625549959347e-01      -1.350987535628e+00       2.359145212704e-05       2.415038732079e-04      -1.013240651726e+00       2.361028593955e-05 
       7.885177548870e+01       1.947264364903e-04      -1.350987420990e+00       2.359945153856e-05       7.507879636169e-07       1.876969909042e-06       3.380888285997e-11       3.753939818084e-07      -1.013240565742e+00       2.359945153867e-05       5.895348202360e-01       6.625550255230e-01      -1.350987420986e+00       2.359148179796e-05       2.415046151579e-04      -1.013240565746e+00       2.361031569299e-05 
       7.885189344174e+01       1.947267646114e-04      -1.350987306349e+00       2.359948124634e-05       7.507914450361e-07       1.876978612590e-06       3.380915425363e-11       3.753957225180e-07      -1.013240479762e+00       2.359948124647e-05       5.895348710558e-01       6.625550551109e-01      -1.350987306344e+00       2.359151146888e-05       2.415053571089e-04      -1.013240479768e+00       2.361034544644e-05 
       7.885307297210e+01       1.947300458283e-04      -1.350986160021e+00       2.359977832458e-05       7.508262598131e-07       1.877065649533e-06       3.381186828526e-11       3.754131299066e-07      -1.013239620016e+00       2.359977832502e-05       5.895353792389e-01       6.625553509718e-01      -1.350986160003e+00       2.359180817865e-05       2.415127766700e-04      -1.013239620034e+00       2.361064298147e-05 
       7.885425250245e+01       1.947333270562e-04      -1.350985013826e+00       2.360007540376e-05       7.508610756544e-07       1.877152689136e-06       3.381458248966e-11       3.754305378272e-07      -1.013238760370e+00       2.360007540451e-05       5.895358873956e-01       6.625556467995e-01      -1.350985013796e+00       2.359210488935e-05       2.415201963243e-04      -1.013238760401e+00       2.361094051745e-05 
       7.885543203281e+01       1.947366082952e-04      -1.350983867765e+00       2.360037248388e-05       7.508958925600e-07       1.877239731400e-06       3.381729686685e-11       3.754479462800e-07      -1.013237900823e+00       2.360037248495e-05       5.895363955260e-01       6.625559425940e-01      -1.350983867722e+00       2.359240160098e-05       2.415276160719e-04      -1.013237900867e+00       2.361123805439e-05 
       7.885661156317e+01       1.947398895452e-04      -1.350982721836e+00       2.360066956494e-05       7.509307105300e-07       1.877326776325e-06       3.382001141684e-11       3.754653552650e-07      -1.013237041377e+00       2.360066956632e-05       5.895369036300e-01       6.625562383552e-01      -1.350982721781e+00       2.359269831353e-05       2.415350359127e-04      -1.013237041434e+00       2.361153559227e-05 
       7.886588184625e+01       1.947656782570e-04      -1.350973720287e+00       2.360300444692e-05       7.512043924718e-07       1.878010981179e-06       3.384135189760e-11       3.756021962359e-07      -1.013230290215e+00       2.360300445075e-05       5.895408960546e-01       6.625585616745e-01      -1.350973720133e+00       2.359503029885e-05       2.415933539146e-04      -1.013230290373e+00       2.361387406500e-05 
       7.887515212933e+01       1.947914676496e-04      -1.350964726973e+00       2.360533938700e-05       7.514781402101e-07       1.878695350525e-06       3.386270306033e-11       3.757390701051e-07      -1.013223545230e+00       2.360533939328e-05       5.895448868517e-01       6.625608829420e-01      -1.350964726721e+00       2.359736234150e-05       2.416516776761e-04      -1.013223545488e+00       2.361621259658e-05 
       7.888442241241e+01       1.948172577228e-04      -1.350955741891e+00       2.360767438513e-05       7.517519537904e-07       1.879379884476e-06       3.388406491226e-11       3.758759768952e-07      -1.013216806419e+00       2.360767439386e-05       5.895488760222e-01       6.625632021588e-01      -1.350955741540e+00       2.359969444144e-05       2.417100071973e-04      -1.013216806778e+00       2.361855118699e-05 
       7.889369269550e+01       1.948430484767e-04      -1.350946765036e+00       2.361000944129e-05       7.520258332570e-07       1.880064583142e-06       3.390543746058e-11       3.760129166285e-07      -1.013210073777e+00       2.361000945247e-05       5.895528635668e-01       6.625655193262e-01      -1.350946764586e+00       2.360202659863e-05       2.417683424784e-04      -1.013210074237e+00       2.362088983618e-05 
