# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 50, i.e. number of multipoles equal to 49
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                 
    2       1.368779717705e-10 
    3       1.289932305040e-10 
    4       1.215744625256e-10 
    5       1.157616637405e-10 
    6       1.114105384633e-10 
    7       1.084359937520e-10 
    8       1.065725952750e-10 
    9       1.052729488872e-10 
   10       1.040951445415e-10 
   11       1.034990975813e-10 
   12       1.032357994631e-10 
   13       1.035358211069e-10 
   14       1.031189870307e-10 
   15       1.031479292894e-10 
   16       1.031454123637e-10 
   17       1.038458919264e-10 
   18       1.040616370924e-10 
   19       1.038512881950e-10 
   20       1.038926617871e-10 
   21       1.042331499491e-10 
   22       1.046535550033e-10 
   23       1.050045542853e-10 
   24       1.051589284465e-10 
   25       1.052055516844e-10 
   26       1.052802563219e-10 
   27       1.053805194694e-10 
   28       1.054311247651e-10 
   29       1.053460038513e-10 
   30       1.051548070225e-10 
   31       1.049240763242e-10 
   32       1.047205558828e-10 
   33       1.045967631613e-10 
   34       1.045989644748e-10 
   35       1.047451231250e-10 
   36       1.049384328843e-10 
   37       1.050199431608e-10 
   38       1.047874435182e-10 
   39       1.040636996443e-10 
   40       1.029368120929e-10 
   41       1.015965442823e-10 
   42       1.002722761730e-10 
   43       9.917793267949e-11 
   44       9.832078193880e-11 
   45       9.763690952327e-11 
   46       9.704212695834e-11 
   47       9.643064848789e-11 
   48       9.571632849438e-11 
   49       9.497320711312e-11 
   50       9.433230924009e-11 
