# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1300
# for k=1.04206e-08 to 1.49015 h/Mpc,
# number of wavenumbers equal to 786
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                
       1.042057218184e-08      -7.729218087103e-13      -5.796913565327e-13      -5.796913565328e-13      -7.729218087103e-13      -5.796913565328e-13      -6.330911602792e-13       6.458691668926e-01       6.008311216525e-01 
       1.066329848923e-08      -8.093484913116e-13      -6.070113684836e-13      -6.070113684837e-13      -8.093484913115e-13      -6.070113684837e-13      -6.629278274469e-13       6.458691668924e-01       6.008311216524e-01 
       1.091167861863e-08      -8.474919105743e-13      -6.356189329308e-13      -6.356189329308e-13      -8.474919105743e-13      -6.356189329308e-13      -6.941706534171e-13       6.458691668925e-01       6.008311216524e-01 
       1.116584426446e-08      -8.874329738044e-13      -6.655747303533e-13      -6.655747303534e-13      -8.874329738045e-13      -6.655747303534e-13      -7.268859084121e-13       6.458691668923e-01       6.008311216522e-01 
       1.142593018872e-08      -9.292564013523e-13      -6.969423010142e-13      -6.969423010143e-13      -9.292564013522e-13      -6.969423010143e-13      -7.611429858742e-13       6.458691668923e-01       6.008311216522e-01 
       1.169207429241e-08      -9.730509063151e-13      -7.297881797363e-13      -7.297881797364e-13      -9.730509063150e-13      -7.297881797364e-13      -7.970145496576e-13       6.458691668924e-01       6.008311216524e-01 
       1.196441768865e-08      -1.018909382710e-12      -7.641820370322e-13      -7.641820370323e-13      -1.018909382710e-12      -7.641820370322e-13      -8.345766881586e-13       6.458691668927e-01       6.008311216527e-01 
       1.224310477751e-08      -1.066929102512e-12      -8.001968268840e-13      -8.001968268841e-13      -1.066929102512e-12      -8.001968268841e-13      -8.739090757086e-13       6.458691668925e-01       6.008311216525e-01 
       1.252828332259e-08      -1.117211921987e-12      -8.379089414901e-13      -8.379089414901e-13      -1.117211921987e-12      -8.379089414901e-13      -9.150951415753e-13       6.458691668925e-01       6.008311216524e-01 
       1.282010452931e-08      -1.169864497735e-12      -8.773983733011e-13      -8.773983733012e-13      -1.169864497735e-12      -8.773983733012e-13      -9.582222469259e-13       6.458691668924e-01       6.008311216524e-01 
